Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Antigua Iglesia y Hospital del Buen Suceso,Monument, ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,302.85
Antigua pastelería del Pozo,Monument,C Pozo 8,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,207.92
"Antonia Mercé, la Argentina",Monument,C Ave María 8,Antón Martín,"Calle Atocha nº 54,",13,6,121.61
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",2,21,207.35
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",2,21,173.05
Antonio Cánovas del Castillo,Monument,Pza Marina Española ,San Quintín,"Calle Pavía nº 6,",8,19,191.38
Antonio de Andrés Martínez,Monument,PLAZA DON ANTONIO DE ANDRES 1,"Avenida Real, 3","470 - Avenida Real, 3,",2,16,43.5
Antonio Lleó de la Viña,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Antonio Machado,Monument,C Antonio Machado 55,"Calle Antonio Machado, 30","Calle Antonio Machado, 30,",3,8,55.81
Antonio Machado,Monument,CALLE SAN ROMAN DEL VALLE 8,Amposta s/n (esquina Arcos de Jalón),"Amposta s/n (esquina Arcos de Jalón),",9,14,336.24
Antonio Machado,Monument,CALLE GENERAL ARRANDO 4,Manuel Silvela,"Calle Manuel Silvela nº 20,",1,26,228.96
Antonio Maura,Monument,C Antonio Maura 18,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,45.01
Antonio Mingote,Monument,Pza Cristino Martos 5,Ventura Rodríguez,"Ventura Rodriguez, 2,",12,15,140.41
Antonio Paso Cano,Monument,C Apodaca 9,Barceló,"Calle Barceló nº 7,",15,4,91.66
Antonio Zozaya,Monument,Pza General Vara del Rey 14,Plaza de la Cebada,"Plaza de la Cebada nº 16 ,",20,10,200.21
Antorcha,Monument,BARRIO CIUDAD UNIVERSITARIA ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,479.78
Antorcha,Monument,Avda General Fanjul 14,"Avda de las Aguilas, 27","Avda de las Aguilas, 27,",7,16,259.17
Apeadero de Pavones,Monument, ,"Fuente Carrantona , 33","Fuente Carrantona , 33,",5,22,318.4
Arco de Moncloa,Monument, ,Moncloa,"Paseo de Moret nº 2,",4,19,130.09
Arcángel San Miguel,Monument,C Costa del Sol 1,"Avenida de San Luis, 23","Avenida de San Luis, 23,",4,18,230.63
Armando Palacio Valdés,Monument,CALLE MALDONADO 25,Velázquez-Diego de León,"Calle Velázquez nº 91,",3,20,98.75
Artieda y Labiano,Monument,C Navas de Tolosa 10,Santo Domingo,"Plaza de Santo Domingo nº 1,",15,9,152.46
Arturo Duperier Vallesa,Monument,CALLE VIRGEN DEL PORTILLO 37,C.D. Concepción,"Calle Jose del Hierro nº 5,",6,16,213.35
Arturo Pajuelo Rubio,Monument,Pza Sestao ,Guetaria  84b,"Guetaria , 84b,",21,2,254.15
Arturo Soria y Mata,Monument,C Arturo Soria ,"Diego Ayllon, 2","Diego Ayllon, 2,",3,20,331.37
Asilo de Inválidos,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",6,17,314.91
Ataulfo,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",8,15,124.12
Atentado boda real Alfonso XIII,Monument,C Mayor 79,Segovia 26,"Calle Segovia nº 26,",9,18,154.04
Atentados 11-M,Monument,Pza Puerta del Sol 7,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,325.86
Atletas,Monument,CALLE SERRANO 127,Serrano 113,"Calle Serrano nº 113B,",5,22,162.64
Atletas,Monument,C Clara Campoamor 10,"Calle de Avefria, 26","Calle de Avefria, 26,",9,14,317.37
Atrio de la ermita de San Isidro,Monument,Pº Ermita del Santo 78,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",15,7,617.3
Auditorio del parque Enrique Tierno Galván,Monument,PARQUE ENRIQUE TIERNO GALVAN ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",21,2,212.87
Augusto d'Halmar,Monument,CALLE LORETO Y CHICOTE 8,Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",7,16,164.49
Aula de informática Reina Sofía,Monument,C Camino de la Arboleda ,Calle de Alan Turing,"Calle de Alan Turing,",3,20,172.61
Ave Fénix,Monument,PASEO CASTELLANA 33,Castellana 33,"Castellana 33,",2,21,85.48
Avenida Reyes Católicos,Monument,Pza San Francisco el Grande 1,Plaza de San Francisco,"Plaza de San Francisco nº 5,",23,1,53.42
Azorín,Monument,C Zorrilla 21,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,55.39
Azorín,Monument,Gta Azorín ,Segovia 45,"Calle Segovia nº 45,",16,11,153.67
Baco,Monument,PARQUE ALAMEDA DE OSUNA ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,378.38
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",6,17,5347.7
Baden Powell,Monument,Ctra Zarzón ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",3,24,618.91
Baldomero Fernández Espartero,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,364.35
Baltasar Bachero,Monument,C Salitre 34,Plaza de Lavapiés,"Calle Valencia nº 1,",12,12,173.71
Banda en los círculos,Monument, ,"Gran Avenida, 27","Gran Avenida, 27,",16,8,302.55
Barrendero madrileño,Monument,Pza Jacinto Benavente ,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,131.43
Batalla de Lepanto,Monument,C Lepanto 2,Plaza Ramales,"Plaza de Ramales,",8,15,40.11
Beata Maria Ana de Jesús,Monument,C Valverde 15,Desengaño,"Calle Desengaño nº 1,",11,12,100.24
Beatriz Galindo 'La Latina',Monument,Pza Puerta del Ángel ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",23,4,62.51
Beethoven,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",6,17,182.86
Berenguela,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,303.71
Bernardino de Obregón,Monument,C Bernardino Obregón 1,Embajadores 2,"Glorieta de Embajadores nº 2,",10,14,133.22
Bernardo López García,Monument,C Bernardo López Garcia 9,Conde Duque,"Calle Conde Duque nº 22,",6,17,113.79
Berruguete,Monument,C Serrano 13,Biblioteca Nacional,"Paseo de Recoletos nº 20,",10,13,170.96
Blanca de los Ríos,Monument,C Jorge Juan 7,Colón B,"Calle Serrano nº 32,",4,15,115.79
Blas Lázaro e Ibiza,Monument,Pza Ramón y Cajal 2,Facultad Biología,"Calle José Antonio Novais frente al nº 12,",3,21,290.72
Botica de José Ortega Hernández,Monument,C Montera 17,Desengaño,"Calle Desengaño nº 1,",11,12,296.28
Botica de la Reina Madre,Monument,C Mayor 59,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,18.86
Bravo Murillo,Monument,CALLE BRAVO MURILLO 49,Quevedo,"Glorieta de Quevedo nº 5,",2,20,34.65
Britannia,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",7,17,200.13
